hash,params,onchip_used_bytes,offchip_streamed_bytes,total_ops,mapped,latency_ms_median,latency_ms_min,latency_ms_p95,latency_ms_mean,n_timed,status
71e29ecde1db1f6344801d69c75ed954,888202,928768,0,41,TRUE,0.8532,0.8233,0.9671,0.8689,100,timed
0cd5aff4e3f44ec7fd0cdea0b25cbcc5,6070666,6134169,0,86,TRUE,1.4283,1.3763,1.5389,1.4468,100,timed
44c687c7c21a75a7cfa0bceebafe1853,1870367,2359296,0,86,TRUE,0.9430,0.9042,1.0136,0.9511,100,timed
c5be66d9056923e12cd092c193900a5c,4896138,4980736,0,95,TRUE,1.8395,1.7986,1.9790,1.8585,100,timed
2c8251c708c98122e003a8b7e6e1b7cc,19489162,7864320,11691622,41,TRUE,26.9267,26.8129,27.0727,26.9416,100,timed
7cb9fc92003fb6d5663423001409b318,12274570,7969177,4372561,41,TRUE,10.4062,10.3203,10.5357,10.4186,100,timed
c9983c4d8fc199d68a3778c8e181a319,5775242,5872025,0,104,TRUE,1.8186,1.7789,1.9649,1.8384,100,timed
2a922a7a0697d6ce64e8d578155b0c0d,8311178,7979663,390656,104,TRUE,2.1738,2.1261,2.3152,2.1929,100,timed
254b3c11e4f6b7efff630810abcfb911,830972,1080033,0,101,TRUE,0.8821,0.8351,1.0158,0.9001,100,timed
be37244bef6847254a11217570b03524,5807242,5861539,0,95,TRUE,1.6117,1.5757,1.7791,1.6434,100,timed
1d51417872db404b98002772ce6918ef,12274570,7969177,4372561,86,TRUE,10.9746,10.8910,11.0734,10.9817,100,timed
724ceb3878ccde3f535dd4ab2555c917,4358538,4424990,0,104,TRUE,1.4779,1.4296,1.5998,1.4995,100,timed
f68de672564ddefc30c9366e5aae1bfe,23333258,7906263,15529410,104,TRUE,35.6676,35.4829,35.7790,35.6707,100,timed
03c0143660099a77958ebe78355f2044,3365952,5064622,0,104,TRUE,1.4858,1.4409,1.5999,1.5039,100,timed
2d91b76965365cc40770e11ff78762cb,21411210,7853834,13641973,95,TRUE,31.5003,31.3613,31.6604,31.5133,100,timed
6f6257bc3b12d87b8736e81cd4b7ed8b,1767306,1814036,0,41,TRUE,0.8131,0.7773,0.9293,0.8286,100,timed
980f15236179785b551c73fc8d6e984c,2606881,3271557,0,86,TRUE,1.1256,1.0826,1.2391,1.1435,100,timed
abbb229f6d99fca2894a8bf159d9ec19,951471,1226833,0,101,TRUE,0.8326,0.8019,0.9560,0.8473,100,timed
c465ad35f7c93aefdf743307af761ae1,5807242,5861539,0,86,TRUE,1.4678,1.4291,1.5819,1.4841,100,timed
355f27a4725363f68c8f1a88fc0f8baf,4798090,4865392,0,113,TRUE,1.5485,1.4910,1.6626,1.5658,100,timed
971d4a887ef4b24e31731c0dfd816253,2885547,3638558,0,95,TRUE,1.1717,1.1196,1.2875,1.1952,100,timed
968755e05b28d2bcd83ffd9db9b837dc,1591178,1646264,0,104,TRUE,1.2172,1.1324,1.3404,1.2365,100,timed
4eb779285481e2feb4ab6f42f3d72f66,1989425,2506096,0,95,TRUE,1.0148,0.9712,1.2148,1.0335,100,timed
a4c830aaaa9d645e8a00e92c529e2611,20532106,7895777,12708741,59,TRUE,29.3797,29.1965,29.5677,29.4151,100,timed
6a8e6e97ecd1dc0934e776091c5bfae7,13868938,7864320,6102712,113,TRUE,14.5249,14.4351,14.7031,14.5456,100,timed
6463dec236838bad09900bdd64ef2f33,9014154,8032092,1059061,104,TRUE,3.3344,3.2647,3.4489,3.3563,100,timed
e0e95c85c9ece1eb0443ca4564a17337,4732298,4812963,0,104,TRUE,1.9612,1.9173,2.1190,1.9809,100,timed
57468b7c4dd6508014213945941ccac7,2893944,3638558,0,95,TRUE,1.1533,1.1159,1.2730,1.1730,100,timed
0392e8a0e2939ec313ca5c4ca0492312,1978762,2118123,0,68,TRUE,0.9258,0.8847,1.1110,0.9496,100,timed
313736e5b054727569cd58208e87ba83,2908985,3638558,0,95,TRUE,1.1424,1.0999,1.3484,1.1742,100,timed
012deff52786819c4b8ca442cc075ac9,4896138,4980736,0,95,TRUE,1.6643,1.6146,1.8166,1.6853,100,timed
093c374abde96ff2195a516ed51d8930,1978762,2118123,0,68,TRUE,0.9442,0.8698,1.1140,0.9598,100,timed
4cff275248015389b0a83c646c4599cf,3039882,3082813,0,68,TRUE,1.1109,1.0708,1.2412,1.1401,100,timed
8259fa5ddab153bcf0717e56a5ed303c,3655817,5421137,0,104,TRUE,1.5159,1.4710,1.6991,1.5476,100,timed
3eb1860d00ce75987821bd9488f62779,3812076,4771020,0,95,TRUE,1.3293,1.2831,1.4860,1.3542,100,timed
84b167c77985fe05f490bc4141dc676d,5807242,5861539,0,86,TRUE,1.4837,1.4379,1.5854,1.4953,100,timed
e74a9b5637bd5660b3e1538bf5a8348d,14032778,8032092,6092226,104,TRUE,14.5144,14.4245,14.7419,14.5360,100,timed
b94752eaa467ee9b62e24643dfec7376,7695498,7748976,0,77,TRUE,1.6770,1.6290,1.8209,1.7013,100,timed
e5a8038201ff317594fa62c45ecd2d05,12110730,7969177,4215275,50,TRUE,10.0832,9.9979,10.2850,10.1122,100,timed
139eaf391eac2a81db1f8c2c773217bf,3031497,3785359,0,98,TRUE,1.1462,1.1061,1.2690,1.1671,100,timed
eb2e7682970067c40aa7af44d5e627ea,8838026,8032092,879104,104,TRUE,2.9627,2.9111,3.0813,2.9797,100,timed
cac2ab2b1c21698c84140b29e4c428e5,29832586,7969177,21946695,86,TRUE,50.0756,49.9340,50.2185,50.0864,100,timed
853add1fb58360f2ee5b53178d6429dd,6510218,6574571,0,95,TRUE,1.4808,1.4332,1.6115,1.5001,100,timed
2af739975919c70aeb3220cf342a675e,3853194,3921674,0,59,TRUE,1.1196,1.0853,1.2215,1.1358,100,timed
d770fd35074cc3ef7dd76e1f96fd1946,4006282,4068474,0,86,TRUE,1.1745,1.1401,1.2805,1.1881,100,timed
2f46c9d2f1cff176f34a2295c49822bc,3039882,3082813,0,41,TRUE,0.7736,0.7369,0.9072,0.7868,100,timed
c4efdf77a43e8d3bd8b92e416b79109e,2782644,3491758,0,92,TRUE,1.1584,1.1200,1.2844,1.1771,100,timed
eae2760c635ecba5f24e74377fa3dc07,3662956,4550819,0,89,TRUE,1.2425,1.1950,1.4870,1.2817,100,timed
4dcf4a63d8bae4c0f299cad53b7129a1,1873308,2359296,0,62,TRUE,0.7750,0.7403,0.8971,0.7918,100,timed
8b900e6fbd7672c65fe6f833e95c200b,21411210,7864320,13631488,77,TRUE,31.4470,31.3195,31.6017,31.4590,100,timed
05437333d52f605fd717faa8bf950542,20532106,7969177,12635340,59,TRUE,29.1975,29.0722,29.3299,29.2071,100,timed
b49ac8c578b4561d79ac7087988f1c61,10188682,7906263,2338324,23,TRUE,5.9241,5.8514,6.0322,5.9340,100,timed
32901a6e3614f2ee9c380c73c1866fef,22454154,7864320,14680064,77,TRUE,33.6660,33.5150,33.8420,33.6803,100,timed
71d941de64dc3f9945d01633fff34988,5367690,5421137,0,86,TRUE,1.4856,1.4307,1.6716,1.5170,100,timed
8931375b17571d1c7fbf7c112dbe28bc,2780880,3491758,0,95,TRUE,1.1819,1.1357,1.3210,1.2029,100,timed
083ee66bbaafd65732757ced69e68dc5,4182410,4246732,0,104,TRUE,1.3392,1.2993,1.4949,1.3624,100,timed
ee7352572d1fe6d96f755c23ba85dce7,6686346,6752829,0,104,TRUE,1.7434,1.7040,1.9391,1.7760,100,timed
6bc1790ed429d54dc732031f2301632a,3001610,3198156,0,86,TRUE,1.0068,0.9754,1.1059,1.0243,100,timed
9d945979a511db5b3a3bcf0e56ce77a5,4182410,4246732,0,104,TRUE,1.3704,1.3321,1.5278,1.3889,100,timed
4e9072c02fe6511295d0dbe82c74e989,1750146,2202009,0,62,TRUE,0.7964,0.7662,0.9113,0.8148,100,timed
d8720cf71455c485e0681eec0efc0901,1582141,1992294,0,92,TRUE,0.9294,0.8936,1.0410,0.9458,100,timed
abdf715e664f53708e379d1e10ab09d2,21411210,7969177,13526630,95,TRUE,31.3742,31.2618,31.6017,31.4031,100,timed
49e68103df3021497b81b9a09cdba13e,7125898,7203717,0,113,TRUE,1.7826,1.7313,1.9069,1.7986,100,timed
f28ae524c59c34448f690570c75b8921,5807242,5861539,0,86,TRUE,1.4665,1.4260,1.6664,1.4868,100,timed
f2e929040a2e3997ef1cca09c24fcd63,3742858,3795845,0,95,TRUE,1.3581,1.3211,1.5648,1.3860,100,timed
9d6a3f721926eebbf2277acdf938b14f,7871626,7927234,0,95,TRUE,1.8693,1.8225,2.0577,1.9255,100,timed
f5932686e6f76e752739a82c0195d88f,3039882,3082813,0,86,TRUE,1.2102,1.1657,1.3197,1.2269,100,timed
ef694b3b1bae2ad0744428f50fbd3428,15075722,7864320,7319060,104,TRUE,17.1586,17.0881,17.3023,17.1732,100,timed
bcac9da9e452e7374364a599a26a61a0,4885386,4959764,0,104,TRUE,1.4128,1.3761,1.5363,1.4398,100,timed
