hash,params,ops_on_tpu,ops_on_cpu,onchip_used_bytes,offchip_streamed_bytes,mapped,status
1c5e924cca660d3ff445a2f34da5e7d9,3704544,,,4613734,0,PARTIAL,partial_999_cpu_ops
1ca7a0759b04e3e871b9391849ff5914,2776458,,,2820669,0,PARTIAL,partial_999_cpu_ops
1d32ff28746ec3f856ff5b2103ff8c87,10199434,,,8032092,2233466,PARTIAL,partial_999_cpu_ops
1d51417872db404b98002772ce6918ef,12274570,,,7969177,4372561,PARTIAL,partial_999_cpu_ops
1dc1e82eea097075a9e046d10b419a42,14032778,,,7969177,6155141,PARTIAL,partial_999_cpu_ops
1dc4b0379b65b432b148aeed88fc6504,2857003,,,4445962,0,PARTIAL,partial_999_cpu_ops
1e174f53f1f1ab7f67f3117c88f06469,31590794,,,7790919,23907532,PARTIAL,partial_999_cpu_ops
1e3dad61a43e8ea069745069f68062e3,7432074,,,7486832,0,PARTIAL,partial_999_cpu_ops
1e7a78da6c7fdcd80c785c167a962a25,6334090,,,6396313,0,PARTIAL,partial_999_cpu_ops
1eac8b63b3ed0ebddd37682e7d2b30d4,4006282,,,4068474,0,PARTIAL,partial_999_cpu_ops
1ec8f6c2cee11678ee2390c9a260756d,5631114,,,5683281,0,PARTIAL,partial_999_cpu_ops
1ecb5011982f7afbbe77f62781d9890a,22126474,,,8032092,14187233,PARTIAL,partial_999_cpu_ops
1eedce0cf2d0b9e046f262a7348bd5a4,1941898,,,2002780,0,PARTIAL,partial_999_cpu_ops
1eeeb1ba375ad89b28edc6e8b86d2b95,5367690,,,5421137,0,PARTIAL,partial_999_cpu_ops
1f5dd39f87696e1919815c0f2bfe69fc,14360458,,,7969177,6480199,PARTIAL,partial_999_cpu_ops
1f7d9e17259b6fbd22a3f062aee0707f,23333258,,,7864320,15571353,PARTIAL,partial_999_cpu_ops
1f941406ab56a639aa09655485551228,1007260,,,1289748,0,PARTIAL,partial_999_cpu_ops
1fe74490deafa6dc78260f94be11881d,22290314,,,7853834,14533263,PARTIAL,partial_999_cpu_ops
20259ceb22b0ddbdc2fa770958593602,1757765,,,2202009,0,PARTIAL,partial_999_cpu_ops
20eb3079cc47b71a42078650fef10acb,6686346,,,6752829,0,PARTIAL,partial_999_cpu_ops
2105e2560b24d9f593f378f60564da62,1813801,,,2285895,0,PARTIAL,partial_999_cpu_ops
21441e79b8e2987920db18e3db6dbe26,6773642,,,6847201,0,PARTIAL,partial_999_cpu_ops
2149da2d47575fcb253d4999f2b5e97c,12825994,,,7790919,5117050,PARTIAL,partial_999_cpu_ops
216b95c163d04dd694c711adfcb33a2f,1415050,,,1468006,0,PARTIAL,partial_999_cpu_ops
21ba5b8c49bac5132d4b27d0a52309e9,4621962,,,4687134,0,PARTIAL,partial_999_cpu_ops
21fc7949ccbefbbaaa879490155fce24,5543818,,,5599395,0,PARTIAL,partial_999_cpu_ops
2287179716f9f737509e545a72935d73,14196618,,,7969177,6322913,PARTIAL,partial_999_cpu_ops
229ad37fca0db5be24bfcce9cb434885,12110730,,,8032092,4152360,PARTIAL,partial_999_cpu_ops
23210bc67e4905db94d53ca2faa94683,6818186,,,6920601,0,PARTIAL,partial_999_cpu_ops
232b900e952d86a83b0ff85c0a22cca0,12110730,,,7906263,4278190,PARTIAL,partial_999_cpu_ops
2353fb48bc457d282a97ca0952fe81cc,30547850,,,7864320,22775070,PARTIAL,partial_999_cpu_ops
23c627ab1005986bc302013e636f74b7,12274570,,,7969177,4372561,PARTIAL,partial_999_cpu_ops
23d302b91df3ec80c544842601aa257e,422188,,,557312,0,PARTIAL,partial_999_cpu_ops
23f8555ecc00f016e990ecc73ea974b7,6686346,,,6752829,0,PARTIAL,partial_999_cpu_ops
243037e12607b17d7f6704fcee4054af,1327754,,,1373634,0,PARTIAL,partial_999_cpu_ops
246b7cbd9e3cf0a489eaf9c4a1da7259,15075722,,,7864320,7319060,PARTIAL,partial_999_cpu_ops
24a787a1d9370b2a4774f02d5ec9c4d3,3830154,,,3890216,0,PARTIAL,partial_999_cpu_ops
24c4c721360d64daac9dd571817d6f6b,3742858,,,3795845,0,PARTIAL,partial_999_cpu_ops
