hash,params,coral_latency_ms,coral_offchip_bytes,npu_latency_ms_median,npu_latency_ms_min,npu_latency_ms_p95,npu_latency_ms_mean,npu_n_timed,status
bb00db7cdbac28ecfdb1a69529ce1dfc,,,,4.5741,4.3064,4.9606,4.6447,100,timed
bb324de5f249ac88fbd794a0b956bcce,,,,5.5975,5.3557,6.1326,5.7606,100,timed
bb60c46f5b7c352b7900043c5ef7e0a7,,,,2.6650,2.6013,2.7075,2.6626,100,timed
bbafb7b224f5af0a5e6a28a0f3db97af,,,,7.0798,6.6067,7.3908,7.0661,100,timed
bbd7d7c4c9b9d1d8532d3f1fa4af668d,,,,5.4659,4.8711,5.5436,5.3436,100,timed
bc09be64afbb2ccb28cde3bcae556f67,,,,4.0498,3.5276,4.1118,3.9955,100,timed
bc12ef2ce699b9f9ed98731c977784ac,,,,7.5946,7.0244,7.6792,7.5531,100,timed
bc1b9abe00d344cc7b6bc5d24e176b83,,,,5.5467,4.9566,5.6260,5.4478,100,timed
bc87a8607312e46c1e5b8157354e44e6,,,,6.0065,5.4490,6.0836,5.9293,100,timed
bc94f0e3a913530f3914612d02a328a3,,,,5.2304,4.6671,5.2999,5.1658,100,timed
bcac9da9e452e7374364a599a26a61a0,,,,5.1575,4.5929,5.2706,5.1066,100,timed
bcc43ab208a192a9ef8a1d41acdd79c9,,,,4.7049,4.0840,4.8069,4.6026,100,timed
bce637b42a97ffd878015bb681c21f0e,,,,3.7874,3.2547,4.0461,3.7715,100,timed
bcf7cef6d5b96880a65b8cb06a8546e2,,,,4.9224,4.3548,4.9751,4.8033,100,timed
bcff469d9ca87c205c3cdfbbcbfec4d6,,,,4.7306,4.1794,4.8268,4.6024,100,timed
bd7f38d9c1e6f746e0636499031e0f53,,,,2.7423,2.6655,2.8836,2.7645,100,timed
bd827b56353a16aca75736cd910b049a,,,,4.8081,4.3364,4.9370,4.7747,100,timed
bd831fe4ed1f03d55d931dea19d4a7c0,,,,6.7688,6.1724,6.9581,6.6098,100,timed
bd9c3973a15cb2d5972acb3b993998d1,,,,6.3487,5.8739,6.4291,6.3113,100,timed
bd9fee5fb5cc050e8789cabe7f06ea7e,,,,4.3926,3.7689,4.7330,4.3535,100,timed
be37244bef6847254a11217570b03524,,,,4.9627,4.3875,5.1194,4.8494,100,timed
be8770aa22f4d87e9f298e7df5bb2cec,,,,4.8894,4.3322,4.9757,4.7947,100,timed
becde56eb7bf8064d2273c0e0eb15ecf,,,,6.1895,5.9683,6.7906,6.3390,100,timed
bed0664cd033875b2f5059277b8d1a9e,,,,3.6344,3.1343,3.7968,3.5051,100,timed
bfeb1695ef0d4465d162ef0b8b816ae8,,,,4.5821,4.0213,4.6656,4.4886,100,timed
c024e48e6a40f824b81342401a836432,,,,6.1720,5.5927,6.3808,6.0206,100,timed
c03408d8ed90c0cdece556cca6d19cf9,,,,4.0292,3.7181,4.4219,4.0657,100,timed
c0d64000c3795c929f097aa01953244b,,,,3.4164,3.3543,3.5216,3.4259,100,timed
c0e6b63918f2d62e6aeddc0092a496b8,,,,3.9698,3.9188,4.5188,4.1230,100,timed
c122367432b22688bc63c2f329bf5286,,,,1.7703,1.7193,1.9065,1.7909,100,timed
c17f0eaee8b311423d94291e79968952,,,,5.2537,4.6184,5.4898,5.1770,100,timed
c18167dbad42bf4b495860c48908c0c8,,,,2.4371,2.3925,2.5264,2.4463,100,timed
c1cef69a22e3ba222471d20add1243eb,,,,4.5158,3.9417,4.6068,4.4052,100,timed
c1dba24fc08f29b230d7d3c098c9517c,,,,5.3204,4.6028,5.3746,5.2226,100,timed
c2b22d3746fd4e2e9e2798aef348e8cf,,,,4.4555,3.8733,4.5888,4.3752,100,timed
c2b9f32e44695e1371c6926c406b9871,,,,5.3020,4.7847,5.3797,5.2544,100,timed
c31fc88bf3c0becde256e1b15e057305,,,,4.2886,3.7088,4.4598,4.1971,100,timed
c330076d84843e97be8255f84e6bf74a,,,,7.4202,6.6979,7.5401,7.3187,100,timed
c371b88a82c4255021bc21b73830d5bc,,,,5.3332,5.0168,5.7892,5.3951,100,timed
c374fe5bbb3c9760aa59c669272bbf1a,,,,4.2563,3.6884,4.3686,4.0973,100,timed
c385cff57230e741416398670b9fe6c5,,,,4.5211,3.9254,4.6445,4.4667,100,timed
c41cdfda81450373fe921c4920794f6b,,,,4.7616,4.2127,4.8179,4.6690,100,timed
c465ad35f7c93aefdf743307af761ae1,,,,4.7320,4.1675,4.8046,4.6461,100,timed
c49e4ac9841c77d6b5c8868bf48f8829,,,,2.4284,2.4126,2.4838,2.4370,100,timed
c4efdf77a43e8d3bd8b92e416b79109e,,,,5.8347,5.3815,5.9291,5.8077,100,timed
c51ebcacd4c1298650f62d479909cae5,,,,6.2441,5.7642,6.3221,6.1808,100,timed
c53bceec7935e8743e66c08fe7793a20,,,,5.3327,4.8138,5.4121,5.2958,100,timed
c5612807a5fab7a7e13df996f8092095,,,,5.4440,4.9779,5.6751,5.4103,100,timed
